paracetamol 0 1 2
paracetamol 1 2 2
paracetamol 2 3 3
paracetamol 3 4 5
paracetamol 4 5 1
paracetamol 5 6 1
paracetamol 6 7 2
paracetamol 7 8 2
paracetamol 8 9 1
paracetamol 9 10 4
paracetamol 10 11 3
paracetamol 11 12 2
paracetamol 12 13 5
paracetamol 13 14 3
paracetamol 14 15 3
paracetamol 15 16 1
paracetamol 16 17 2
paracetamol 17 18 1
paracetamol 18 19 3
paracetamol 19 20 4
paracetamol 20 21 1
paracetamol 21 22 1
paracetamol 22 23 1
paracetamol 23 24 4
paracetamol 24 25 6
paracetamol 25 26 24
paracetamol 26 27 3
paracetamol 27 28 3
paracetamol 28 29 2
paracetamol 29 30 1
paracetamol 30 31 1
