paracetamol 0 1 2
paracetamol 1 2 2
paracetamol 2 3 2
paracetamol 3 4 5
paracetamol 4 5 0
paracetamol 5 6 16
paracetamol 6 7 20
paracetamol 7 8 6
paracetamol 8 9 8
paracetamol 9 10 2
paracetamol 10 11 3
paracetamol 11 12 10
paracetamol 12 13 7
paracetamol 13 14 4
paracetamol 14 15 11
paracetamol 15 16 3
paracetamol 16 17 6
paracetamol 17 18 4
paracetamol 18 19 3
paracetamol 19 20 0
paracetamol 20 21 0
paracetamol 21 22 0
paracetamol 22 23 9
paracetamol 23 24 4
paracetamol 24 25 6
paracetamol 25 26 8
paracetamol 26 27 4
paracetamol 27 28 4
paracetamol 28 29 2
paracetamol 29 30 0
paracetamol 30 31 1
