study	pk	tissue	allowed_users	measurement_type	substance	unit	time	time_unit	access	raw_pk	pharmacokinetics	interventions	figure	group_count	group_name	group_pk	mean	value	individual_pk	individual_name	se	cv	sd	min	max	median
Heizmann1983	662	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	644	[{'pk': 15670}, {'pk': 15669}, {'pk': 15668}, {'pk': 15667}]	657	/media/data/Heizmann1983_Tab1.png					[None, None, '1.21e-04', '2.23e-04', '1.33e-04', '1.00e-04', '7.60e-05', '6.40e-05', '5.20e-05', '2.80e-05', '1.70e-05', '1.10e-05', '4.50e-06', None, None]	2234.0	RH						
Heizmann1983	661	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	643	[{'pk': 15666}, {'pk': 15665}, {'pk': 15664}, {'pk': 15663}]	656	/media/data/Heizmann1983_Tab1.png					[None, None, '5.20e-05', '8.20e-05', '5.90e-05', '4.50e-05', '3.60e-05', '2.30e-05', '1.60e-05', '1.10e-05', '6.00e-06', '4.00e-06', None, None, None]	2234.0	RH						
Heizmann1983	660	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	642	[{'pk': 15662}, {'pk': 15661}, {'pk': 15660}, {'pk': 15659}]	652	/media/data/Heizmann1983_Tab1.png					['2.91e-04', '2.40e-04', '2.26e-04', '1.72e-04', '1.42e-04', '1.19e-04', '8.30e-05', '5.50e-05', '3.50e-05', '2.40e-05', '1.60e-05', '9.00e-06', '4.00e-06', None, None]	2234.0	RH						
Heizmann1983	659	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	641	[{'pk': 15658}, {'pk': 15657}, {'pk': 15656}, {'pk': 15655}]	657	/media/data/Heizmann1983_Tab1.png					[None, None, '1.62e-04', '1.39e-04', '1.10e-04', '9.90e-05', '7.90e-05', '7.50e-05', '5.90e-05', '4.60e-05', '3.60e-05', '2.60e-05', '1.40e-05', '8.00e-06', '4.00e-06']	2236.0	OA						
Heizmann1983	658	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	640	[{'pk': 15654}, {'pk': 15653}, {'pk': 15652}, {'pk': 15651}]	656	/media/data/Heizmann1983_Tab1.png					[None, None, '1.70e-04', '1.40e-04', '1.01e-04', '7.50e-05', '5.50e-05', '4.30e-05', '2.40e-05', '1.50e-05', '1.20e-05', '8.00e-06', '4.00e-06', None, None]	2236.0	OA						
Heizmann1983	657	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	639	[{'pk': 15650}, {'pk': 15649}, {'pk': 15648}, {'pk': 15647}, {'pk': 15646}, {'pk': 15645}, {'pk': 15644}, {'pk': 15643}, {'pk': 15642}, {'pk': 15641}, {'pk': 15640}, {'pk': 15639}, {'pk': 15638}, {'pk': 15637}, {'pk': 15636}, {'pk': 15635}]	652	/media/data/Heizmann1983_Tab1.png					['3.10e-04', '2.81e-04', '2.62e-04', '2.20e-04', '1.90e-04', '1.71e-04', '1.38e-04', '1.21e-04', '7.30e-05', '5.30e-05', '3.90e-05', '3.00e-05', '1.90e-05', '1.00e-05', '7.00e-06']	2236.0	OA						
Heizmann1983	656	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	638	[{'pk': 15634}, {'pk': 15633}, {'pk': 15632}, {'pk': 15631}]	657	/media/data/Heizmann1983_Tab1.png					[None, None, '8.00e-05', '1.26e-04', '7.70e-05', '7.30e-05', '5.70e-05', '4.90e-05', '3.20e-05', '2.50e-05', '1.10e-05', '8.00e-06', '4.00e-06', None, None]	2235.0	KM						
Heizmann1983	655	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	637	[{'pk': 15630}, {'pk': 15629}, {'pk': 15628}, {'pk': 15627}]	656	/media/data/Heizmann1983_Tab1.png					[None, None, '1.57e-04', '7.80e-05', '5.10e-05', '3.80e-05', '2.60e-05', '2.10e-05', '1.60e-05', '1.00e-05', '6.00e-06', None, None, None, None]	2235.0	KM						
Heizmann1983	654	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	636	[{'pk': 15626}, {'pk': 15625}, {'pk': 15624}, {'pk': 15623}]	652	/media/data/Heizmann1983_Tab1.png					['2.98e-04', '2.49e-04', '2.35e-04', '1.69e-04', '1.44e-04', '1.04e-04', '8.90e-05', '5.40e-05', '3.60e-05', '2.70e-05', '1.40e-05', '1.20e-05', '6.00e-06', '6.00e-06', None]	2235.0	KM						
Heizmann1983	653	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	635	[{'pk': 15622}, {'pk': 15621}, {'pk': 15620}, {'pk': 15619}]	658	/media/data/Heizmann1983_Tab1.png					[None, None, '1.45e-03', '5.38e-04', '3.90e-04', '3.15e-04', '2.64e-04', '2.07e-04', '1.26e-04', '1.09e-04', '8.60e-05', '6.90e-05', '4.70e-05', '3.60e-05', '2.70e-05']	2239.0	ESch						
