	name	substances	creator	curators	groups_count	group_all_count	groups	individuals_count	individuals	interventions_count	outputs_count	outputs_calculated_count	timecourses_count	results_count
82	Liukas2011	paracetamol glucuronide, paracetamol sulfate, paracetamol	J B	J B, M K	5	40	[{'count': 40, 'name': 'all'}, {'count': 10, 'name': '20-40'}, {'count': 10, 'name': '60-70'}, {'count': 10, 'name': '70-80'}, {'count': 10, 'name': '80-90'}]	238	['Individual 238', 'Individual 237', 'Individual 236', 'Individual 235', 'Individual 234', 'Individual 233', 'Individual 232', 'Individual 231', 'Individual 230', 'Individual 229', 'Individual 228', 'Individual 227', 'Individual 226', 'Individual 225', 'Individual 224', 'Individual 213', 'Individual 212', 'Individual 211', 'Individual 210', 'Individual 209', 'Individual 208', 'Individual 207', 'Individual 206', 'Individual 205', 'Individual 204', 'Individual 203', 'Individual 202', 'Individual 201', 'Individual 200', 'Individual 199', 'Individual 198', 'Individual 197', 'Individual 196', 'Individual 195', 'Individual 194', 'Individual 193', 'Individual 192', 'Individual 191', 'Individual 190', 'Individual 189', 'Individual 188', 'Individual 187', 'Individual 186', 'Individual 185', 'Individual 184', 'Individual 183', 'Individual 182', 'Individual 181', 'Individual 180', 'Individual 179', 'Individual 178', 'Individual 177', 'Individual 176', 'Individual 175', 'Individual 174', 'Individual 173', 'Individual 172', 'Individual 171', 'Individual 170', 'Individual 169', 'Individual 168', 'Individual 167', 'Individual 166', 'Individual 165', 'Individual 164', 'Individual 163', 'Individual 162', 'Individual 161', 'Individual 160', 'Individual 159', 'Individual 158', 'Individual 157', 'Individual 156', 'Individual 155', 'Individual 154', 'Individual 153', 'Individual 152', 'Individual 151', 'Individual 150', 'Individual 149', 'Individual 148', 'Individual 147', 'Individual 146', 'Individual 145', 'Individual 144', 'Individual 143', 'Individual 142', 'Individual 141', 'Individual 140', 'Individual 139', 'Individual 138', 'Individual 137', 'Individual 136', 'Individual 135', 'Individual 134', 'Individual 133', 'Individual 132', 'Individual 131', 'Individual 130', 'Individual 129', 'Individual 128', 'Individual 127', 'Individual 126', 'Individual 125', 'Individual 124', 'Individual 123', 'Individual 122', 'Individual 121', 'Individual 120', 'Individual 119', 'Individual 118', 'Individual 117', 'Individual 116', 'Individual 115', 'Individual 114', 'Individual 113', 'Individual 112', 'Individual 111', 'Individual 110', 'Individual 109', 'Individual 108', 'Individual 107', 'Individual 106', 'Individual 105', 'Individual 104', 'Individual 103', 'Individual 102', 'Individual 101', 'Individual 100', 'Individual 99', 'Individual 98', 'Individual 97', 'Individual 96', 'Individual 95', 'Individual 94', 'Individual 93', 'Individual 92', 'Individual 91', 'Individual 90', 'Individual 89', 'Individual 88', 'Individual 87', 'Individual 86', 'Individual 85', 'Individual 84', 'Individual 83', 'Individual 82', 'Individual 81', 'Individual 80', 'Individual 79', 'Individual 78', 'Individual 77', 'Individual 76', 'Individual 75', 'Individual 74', 'Individual 73', 'Individual 72', 'Individual 71', 'Individual 70', 'Individual 69', 'Individual 68', 'Individual 67', 'Individual 66', 'Individual 65', 'Individual 64', 'Individual 63', 'Individual 62', 'Individual 61', 'Individual 60', 'Individual 59', 'Individual 58', 'Individual 57', 'Individual 56', 'Individual 55', 'Individual 54', 'Individual 53', 'Individual 52', 'Individual 51', 'Individual 50', 'Individual 49', 'Individual 48', 'Individual 47', 'Individual 46', 'Individual 45', 'Individual 44', 'Individual 43', 'Individual 223', 'Individual 222', 'Individual 221', 'Individual 220', 'Individual 219', 'Individual 218', 'Individual 217', 'Individual 216', 'Individual 215', 'Individual 214', 'Individual 42', 'Individual 41', 'Individual 40', 'Individual 39', 'Individual 38', 'Individual 37', 'Individual 36', 'Individual 35', 'Individual 34', 'Individual 33', 'Individual 32', 'Individual 31', 'Individual 30', 'Individual 29', 'Individual 28', 'Individual 27', 'Individual 26', 'Individual 25', 'Individual 24', 'Individual 23', 'Individual 22', 'Individual 21', 'Individual 20', 'Individual 19', 'Individual 18', 'Individual 17', 'Individual 16', 'Individual 15', 'Individual 14', 'Individual 13', 'Individual 12', 'Individual 11', 'Individual 10', 'Individual 9', 'Individual 8', 'Individual 7', 'Individual 6', 'Individual 5', 'Individual 4', 'Individual 3', 'Individual 2', 'Individual 1']	1	385	91	12	397
62	Thummel1996	1-hydroxymidazolam, midazolam	Y D	Y D, M K	3	20	[{'count': 20, 'name': 'all'}, {'count': 10, 'name': 'm'}, {'count': 10, 'name': 'f'}]	20	['p01', 'p02', 'p03', 'p04', 'p05', 'p06', 'p07', 'p08', 'p09', 'p10', 'p11', 'p12', 'p13', 'p14', 'p15', 'p16', 'p17', 'p18', 'p19', 'p20']	2	357	64	8	365
28	Kietzmann1990	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	J B	M K, J B	3	13	[{'count': 13, 'name': 'all'}, {'count': 7, 'name': 'normal renal function'}, {'count': 6, 'name': 'reduced renal function'}]	39	['case26', 'case25', 'case24', 'case23', 'case22', 'case21', 'case20', 'case19', 'case18', 'case17', 'case16', 'case15', 'case14', 'case13', 'case12', 'case11', 'case10', 'case9', 'case8', 'case7', 'case6', 'case5', 'case4', 'case3', 'case2', 'case1', 'OS', 'MS', 'PM', 'RS', 'MW', 'RF', 'HS', 'BB', 'Rsch', 'EF', 'GS', 'HW', 'MV']	1	320	203	26	346
37	Paintaud1998	paracetamol	J B	M K, J B	1	15	[{'count': 15, 'name': 'all'}]	15	['subject15', 'subject14', 'subject13', 'subject12', 'subject11', 'subject10', 'subject9', 'subject8', 'subject7', 'subject6', 'subject5', 'subject4', 'subject3', 'subject2', 'subject1']	3	266	256	32	298
54	Seideman1980	paracetamol glucuronide, paracetamol sulfate, paracetamol	J B	M K, J B	1	8	[{'count': 8, 'name': 'all'}]	8	['subject8', 'subject7', 'subject6', 'subject5', 'subject4', 'subject3', 'subject2', 'subject1']	4	276	96	12	288
49	Shively1975	paracetamol glucuronide, paracetamol	J B	M K, J B	3	18	[{'count': 18, 'name': 'all'}, {'count': 8, 'name': 'paracetamol study'}, {'count': 10, 'name': 'phenacetin study'}]	8	['MZ', 'SW', 'TL', 'DG', 'HD', 'TC', 'TB', 'KA']	3	254	128	16	270
56	Heizmann1983	1-hydroxymidazolam, midazolam	Y D	Y D, J G, M K	3	6	[{'count': 6, 'name': 'all'}, {'count': 4, 'name': 'po10'}, {'count': 2, 'name': 'po40'}]	6	['ESch', 'ChB', 'Ast', 'OA', 'KM', 'RH']	4	199	90	36	235
53	Singla2012	paracetamol	J B	M K, J B	1	7	[{'count': 7, 'name': 'all'}]	7	['Subject 7', 'Subject 6', 'Subject 5', 'Subject 4', 'Subject 3', 'Subject 2', 'Subject 1']	4	208	172	24	232
13	Chan1997	paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate, paracetamol	M K	M K, D E, J G	5	38	[{'count': 38, 'name': 'all'}, {'count': 6, 'name': 'normal renal function'}, {'count': 8, 'name': 'mild renal impairment'}, {'count': 11, 'name': 'moderate renal impairment'}, {'count': 13, 'name': 'severe renal impairment'}]	0		1	193	113	16	209
17	Bedjaoui1984	paracetamol	J B	M K, J B	3	26	[{'count': 26, 'name': 'all'}, {'count': 14, 'name': 'group1'}, {'count': 12, 'name': 'group2'}]	25	['subject25', 'subject24', 'subject23', 'subject22', 'subject21', 'subject20', 'subject19', 'subject18', 'subject17', 'subject16', 'subject15', 'subject14', 'subject13', 'subject12', 'subject11', 'subject10', 'subject9', 'subject8', 'subject7', 'subject6', 'subject5', 'subject4', 'subject3', 'subject2', 'subject1']	1	205	16	2	207
