	raw_pk	tissue	interventions	unit	substance_name	pktype	calculated	individual_pk	value	group_pk	group_count	mean	timecourse_pk	time_unit	time	se	cv	sd	pharmacokinetics	figure	max	min	median	raw_pk_intervention	category	route	unit_intervention	substance_name_intervention	value_intervention	application	time_intervention	time_unit_intervention	form	choice	min_intervention	max_intervention	se_intervention	study	subject_pk	subject_name	('general', 'group_count')	('species', 'choice')	('species', 'count')	('healthy', 'choice')	('healthy', 'count')	('sex', 'choice')	('sex', 'count')	('age', 'count')	('age', 'max')	('age', 'mean')	('age', 'median')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('medication', 'choice')	('medication', 'count')	('abstinence', 'choice')	('abstinence', 'count')	('abstinence', 'mean')	('abstinence', 'min')	('abstinence', 'unit')	('smoking', 'choice')	('smoking', 'count')	('weight', 'count')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('overnight fast', 'choice')	('overnight fast', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('bmi', 'count')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'median')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'se')	('bmi', 'unit')	('disease', 'choice')	('disease', 'count')	('fasted', 'count')	('fasted', 'max')	('fasted', 'mean')	('fasted', 'min')	('fasted', 'unit')	('CYP2D6 phenotype', 'choice')	('CYP2D6 phenotype', 'count')	('glucose', 'count')	('glucose', 'max')	('glucose', 'mean')	('glucose', 'min')	('glucose', 'sd')	('glucose', 'se')	('glucose', 'unit')	('height', 'count')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'se')	('height', 'unit')	('HbA1c', 'count')	('HbA1c', 'max')	('HbA1c', 'mean')	('HbA1c', 'min')	('HbA1c', 'sd')	('HbA1c', 'se')	('HbA1c', 'unit')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'sd')	('smoking amount (cigarettes)', 'unit')	('alcohol abstinence', 'choice')	('alcohol abstinence', 'count')	('alcohol abstinence', 'min')	('alcohol abstinence', 'unit')	('disease duration', 'count')	('disease duration', 'max')	('disease duration', 'mean')	('disease duration', 'min')	('disease duration', 'sd')	('disease duration', 'se')	('disease duration', 'unit')	('insulin', 'count')	('insulin', 'mean')	('insulin', 'sd')	('insulin', 'se')	('insulin', 'unit')	('consumption', 'choice')	('consumption', 'count')	('consumption', 'max')	('consumption', 'mean')	('consumption', 'min')	('consumption', 'sd')	('consumption', 'se')	('consumption', 'unit')	('obesity index', 'count')	('obesity index', 'max')	('obesity index', 'mean')	('obesity index', 'min')	('obesity index', 'sd')	('obesity index', 'se')	('obesity index', 'unit')	('caffeine amount', 'count')	('caffeine amount', 'max')	('caffeine amount', 'mean')	('caffeine amount', 'min')	('caffeine amount', 'sd')	('caffeine amount', 'unit')	('CYP2D6 genotype', 'choice')	('CYP2D6 genotype', 'count')	('triglyceride', 'count')	('triglyceride', 'mean')	('triglyceride', 'se')	('triglyceride', 'unit')	('LDL-H', 'count')	('LDL-H', 'mean')	('LDL-H', 'se')	('LDL-H', 'unit')	('LDL-C', 'count')	('LDL-C', 'mean')	('LDL-C', 'se')	('LDL-C', 'unit')	('cholesterol', 'count')	('cholesterol', 'mean')	('cholesterol', 'se')	('cholesterol', 'unit')	('blood pressure', 'count')	('blood pressure', 'max')	('blood pressure', 'unit')	('percent fat', 'count')	('percent fat', 'mean')	('percent fat', 'sd')	('percent fat', 'se')	('percent fat', 'unit')	('fructosamine', 'count')	('fructosamine', 'mean')	('fructosamine', 'sd')	('fructosamine', 'unit')	('body surface area', 'count')	('body surface area', 'max')	('body surface area', 'mean')	('body surface area', 'min')	('body surface area', 'sd')	('body surface area', 'se')	('body surface area', 'unit')	('genetics', 'choice')	('genetics', 'count')	('smoking duration (years)', 'count')	('smoking duration (years)', 'mean')	('smoking duration (years)', 'min')	('smoking duration (years)', 'unit')	('caffeine', 'choice')	('caffeine', 'count')	('muscle weight', 'count')	('muscle weight', 'mean')	('muscle weight', 'sd')	('muscle weight', 'unit')	('medication type', 'choice')	('medication type', 'count')	('obese', 'choice')	('obese', 'count')	('creatinine_clearance', 'count')	('creatinine_clearance', 'max')	('creatinine_clearance', 'mean')	('creatinine_clearance', 'min')	('creatinine_clearance', 'unit')	('glucagon', 'count')	('glucagon', 'mean')	('glucagon', 'sd')	('glucagon', 'unit')	('lean body mass', 'count')	('lean body mass', 'mean')	('lean body mass', 'sd')	('lean body mass', 'unit')	('metabolic ratio', 'count')	('metabolic ratio', 'max')	('metabolic ratio', 'mean')	('metabolic ratio', 'min')	('metabolic ratio', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('fat weight', 'count')	('fat weight', 'mean')	('fat weight', 'se')	('fat weight', 'unit')	('smoking amount (packyears)', 'count')	('smoking amount (packyears)', 'min')	('smoking amount (packyears)', 'unit')	('caffeine amount (beverages)', 'count')	('caffeine amount (beverages)', 'max')	('caffeine amount (beverages)', 'unit')
0	44505	serum	1322	gram / liter	codeine	cmax	False			613.0	12.0	0.000229									0.000277	0.00018		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
1	44525	serum	1322	hour	morphine	thalf	False			613.0	12.0	8.78									11.6	5.97		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
2	44551	serum	1322	liter / hour	codeine-6-glucuronide	clearance	False			613.0	12.0	68.0									83.1	52.9		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
3	44554	serum	1322	liter / hour	morphine-3-glucuronide	clearance	False			613.0	12.0	158.0									242.0	73.6		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
4	44575	serum	1322	liter / hour	codeine	clearance_renal	False			613.0	12.0	3.99									4.7	3.28		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
5	44577	serum	1322	liter / hour	norcodeine	clearance_renal	False			613.0	12.0	13.2									15.2	11.2		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
6	44611	urine	1322	none	normorphine-glucuronide	recovery	False			613.0	12.0	0.023									0.0279	0.018		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
7	44669	serum	1322	liter	codeine-6-glucuronide	vd	True			613.0	12.0	46.0	3871.0											1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
8	44687	serum	1322	gram * hour / liter	morphine	auc_end	True			613.0	12.0	2.35e-05	3879.0											1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
9	44714	serum	1322	gram / liter	morphine-3-glucuronide	cmax	True			613.0	12.0	0.00011	3881.0											1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
10	44717	serum	1322	liter	morphine-3-glucuronide	vd	True			613.0	12.0	1110.0	3881.0											1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
