	unit	allowed_users	tissue	measurement_type	access	raw_pk	interventions	substance	calculated	group_count	group_name	group_pk	mean	individual_name	individual_pk	value	timecourse_pk	time_unit	time	se	cv	sd	pharmacokinetics	figure	min	max	median	measurement_type_intervention	access_intervention	allowed_users_intervention	raw_pk_intervention	substance_intervention	application	route	unit_intervention	value_intervention	form	time_intervention	time_unit_intervention	choice	sd_intervention	max_intervention	min_intervention	study	subject_pk	subject_name	('general', 'group_pk')	('species', 'choice')	('species', 'count')	('sex', 'choice')	('sex', 'count')	('healthy', 'choice')	('healthy', 'count')	('age', 'count')	('age', 'max')	('age', 'mean')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('age', 'value')	('weight', 'count')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('weight', 'value')	('medication', 'choice')	('medication', 'count')	('overnight fast', 'choice')	('overnight fast', 'count')	('smoking', 'choice')	('smoking', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('height', 'count')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'unit')	('bmi', 'count')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'unit')	('gfr', 'count')	('gfr', 'mean')	('gfr', 'sd')	('gfr', 'unit')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('abstinence medication', 'count')	('abstinence medication', 'min')	('abstinence medication', 'unit')	('body surface area', 'count')	('body surface area', 'max')	('body surface area', 'median')	('body surface area', 'min')	('body surface area', 'unit')	('body surface area', 'value')	('concentration', 'count')	('concentration', 'min')	('concentration', 'substance')	('concentration', 'unit')	('concentration', 'value')	('disease', 'choice')	('disease', 'count')	('disease', 'unit')	('disease', 'value')	('liver function test', 'choice')	('liver function test', 'count')	('biochemistry (categorial)', 'choice')	('biochemistry (categorial)', 'count')	('biochemistry (categorial)', 'substance')	('abstinence alcohol', 'count')	('abstinence alcohol', 'min')	('abstinence alcohol', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('age (categorial)', 'choice')	('age (categorial)', 'count')	('clearance', 'count')	('clearance', 'max')	('clearance', 'min')	('clearance', 'substance')	('clearance', 'unit')	('clearance', 'value')	('fasting (duration)', 'count')	('fasting (duration)', 'min')	('fasting (duration)', 'unit')	('abstinence', 'count')	('abstinence', 'min')	('abstinence', 'substance')	('abstinence', 'unit')	('liver volume', 'count')	('liver volume', 'mean')	('liver volume', 'se')	('liver volume', 'unit')	('weight (categorial)', 'choice')	('weight (categorial)', 'count')	('obesity index', 'count')	('obesity index', 'max')	('obesity index', 'min')	('obesity index', 'unit')	('pregnancy status', 'choice')	('pregnancy status', 'count')	('fasting', 'choice')	('fasting', 'count')	('kidney function test', 'choice')	('kidney function test', 'count')	('body position', 'choice')	('body position', 'count')	('amount', 'count')	('amount', 'substance')	('amount', 'unit')	('amount', 'value')
0	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	650	29	midazolam	False					C10_iv	32.0	0.915												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	32	C10_iv	11	homo sapiens	14	F	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
1	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	653	29	midazolam	False					C13_iv	35.0	0.574												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	35	C13_iv	11	homo sapiens	14	M	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
2	gram / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	cmax	public	844	29	midazolam	True					iv1	55.0	8.57e-05	26.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	55	iv1	11	homo sapiens	14	NR	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
3	liter	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	vd	public	847	29	midazolam	True					iv1	55.0	96.8	26.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	55	iv1	11	homo sapiens	14	NR	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
4	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	auc_end	public	841	29	midazolam	True					iv1	55.0	0.000125	26.0	hr	10.065789									dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	55	iv1	11	homo sapiens	14	NR	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
5	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	846	29	midazolam	True					iv1	55.0	1.82	26.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	55	iv1	11	homo sapiens	14	NR	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
6	1 / minute	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	kel	public	845	29	midazolam	True					iv1	55.0	0.00635	26.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	55	iv1	11	homo sapiens	14	NR	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
7	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	tmax	public	848	29	midazolam	True					iv1	55.0	0.24100000000000002	26.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	55	iv1	11	homo sapiens	14	NR	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
8	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	auc_inf	public	842	29	midazolam	True					iv1	55.0	0.000128	26.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	55	iv1	11	homo sapiens	14	NR	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
9	liter / hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	843	29	midazolam	True					iv1	55.0	36.9	26.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	55	iv1	11	homo sapiens	14	NR	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
